,Text,Subjectivity,Polarity,Analysis
51,  Elon Musk has overaken Amazon founder Jeff Bezos as he world s riches person  wih a ne worh oaling around  181 billion as of he marke close on Wednesday      I3vx4nSrLX,0,0,Neutral
52,squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0,0,Neutral
53,  Elon Musk now officially he riches person in he world  passing Jeff Bezos   More       FXfefHUGqY      QhqxjoCda6,0.5,0.5,Positive
54,  Elon Musk  he ouspoken enrepreneur behind Tesla and SpaceX  is now he riches person on he plane      Z5Nu1kuWx2,0.7,-0.4,Negative
55,  Elon Musk overook Jeff Bezos as he world s riches person  repors    Musk had made a leas  68 billion during he pandemic  Meanwhile  las year    There were 2 3 million layoffs   1 in 8 homes did no have enough o ea   19 5 million on jobless aid in mid Dec      OTYO2BTys,0.25,0,Neutral
56,  Breaking  Elon Musk jus became he riches person in he world   His ne worh is now  188 5 billion  surpassing ha of Jeff Bezos   In he pas year  Musk s forune has risen by  160 billion       poCjypj4Ss,0,0,Neutral
57,   Elon Musk surpasses Amazon s Jeff Bezos as world s riches person wih a ne worh of more han  185 BILLION   Bu jus look a his reacion         71sTADC94,0.5,0.5,Positive
58,  Elon Musk is now he riches person in he world a  190 billion     Wha would you do wih ha money   ,0,0,Neutral
59,  Elon Musk is now he riches person in he world   Sep 1  Build hings ha people love  Sep 2  Profi ,0.6,0.5,Positive
60,  No  Elon Musk is no he riches person in he world ye      1HuVm3iHXO by       9MunzHaSjb,0,0,Neutral
61,  No  Elon Musk is no he riches person in he world ye      1HuVm3iHXO by       9MunzHaSjb,0,0,Neutral
62,squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0,0,Neutral
63,  No  Elon Musk is no he riches person in he world ye      1HuVm3iHXO by       9MunzHaSjb,0,0,Neutral
64,  Elon Musk overook Jeff Bezos as he world s riches person  repors    Musk had made a leas  68 billion during he pandemic  Meanwhile  las year    There were 2 3 million layoffs   1 in 8 homes did no have enough o ea   19 5 million on jobless aid in mid Dec      OTYO2BTys,0.25,0,Neutral
65,  This is ruly absurd   The rich ge richer and he poor ge poorer        on8wOXiwu5,0.783333333,-0.175,Negative
66,  Elon Musk  he ouspoken enrepreneur behind Tesla and SpaceX  is now he riches person on he plane      Z5Nu1kuWx2,0.7,-0.4,Negative
67,squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0,0,Neutral
68,  Elon Musk has overaken Amazon founder Jeff Bezos as he world s riches person  wih a ne worh oaling around  181 billion as of he marke close on Wednesday      I3vx4nSrLX,0,0,Neutral
69,  Elon Musk has overaken Amazon founder Jeff Bezos as he world s riches person  wih a ne worh oaling around  181 billion as of he marke close on Wednesday      I3vx4nSrLX,0,0,Neutral
70,squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0,0,Neutral
71,squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0,0,Neutral
72,  Elon Musk  he ouspoken enrepreneur behind Tesla and SpaceX  is now he riches person on he plane      Z5Nu1kuWx2,0.7,-0.4,Negative
73,  No  Elon Musk is no he riches person in he world ye      1HuVm3iHXO by       9MunzHaSjb,0,0,Neutral
74,  Elon Musk  he ouspoken enrepreneur behind Tesla and SpaceX  is now he riches person on he plane      Z5Nu1kuWx2,0.7,-0.4,Negative
75,  Breaking  Elon Musk jus became he riches person in he world   His ne worh is now  188 5 billion  surpassing ha of Jeff Bezos   In he pas year  Musk s forune has risen by  160 billion       poCjypj4Ss,0,0,Neutral
76,  Elon Musk passes Jeff Bezos o beme he riches person on Earh      yHilp5FHf      7JDPbZMnvA,0,0,Neutral
77,  Elon Musk has overaken Amazon founder Jeff Bezos as he world s riches person  wih a ne worh oaling around  181 billion as of he marke close on Wednesday      I3vx4nSrLX,0,0,Neutral
78,  Elon Musk now officially he riches person in he world  passing Jeff Bezos   More       FXfefHUGqY      QhqxjoCda6,0.5,0.5,Positive
79,squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0,0,Neutral
80,  Elon Musk is now he riches person in he world    His Ne Worh is now more han Amazon founder Jeff Bezos   So  Wha is he one hing  we can learn from his enrepreneurial journey   Smar work  amp  Persisence is he key o success ,0.5,0.266666667,Positive
81,squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0,0,Neutral
82,  Elon Musk s reacion o him being he riches person in he world      QD0zTaPQNm,0,0,Neutral
83,  Souh Africa s very own Elon Musk is now he riches person in he world  The Preoria raised enrepreneur has overaken Amazon boss Jeff Bezos  eNCA      5a7YvCPaMD,1,0.78,Positive
84,Nandos   I know  y all are afraid o say i bu I ll say i   Souh Africa is he riches person on Earh  mxm I mean Elon Musk      cRR5OYpuW5,0.79375,-0.45625,Negative
85,  Elon Musk is now he riches person in he world  An increase in Tesla s sock price on Thursday pushed Musk pas he Amazon founder Jeff Bezos on Bloomberg s lis of he world s wealhies people  Musk s ne worh as of Thursday morning   188 5 billion       fpLcmggzif,0,0,Neutral
86,  Elon Musk  he ouspoken enrepreneur behind Tesla and SpaceX  is now he riches person on he plane      Z5Nu1kuWx2,0.7,-0.4,Negative
87,  Breaking  Elon Musk jus became he riches person in he world   His ne worh is now  188 5 billion  surpassing ha of Jeff Bezos   In he pas year  Musk s forune has risen by  160 billion       poCjypj4Ss,0,0,Neutral
88,Damn Elon musk is now he riches person in he world surpassing Bezos  ,0,0,Neutral
89,  Tesla and SpaceX owner Elon Musk replaced Jeff Bezos as he world s riches person  worh  185bn      waabTOfqn,0,0,Neutral
90,  Elon Musk is now he riches person in he world   Sep 1  Build hings ha people love  Sep 2  Profi ,0.6,0.5,Positive
91,  Elon Musk has edged pas Amazon founder Jeff Bezos o grab he ile of world s riches person  acrding o Bloomberg       kpJ1IjBHOC,0,0,Neutral
92,  Souh Africa s very own Elon Musk is now he riches person in he world  The Preoria raised enrepreneur has overaken Amazon boss Jeff Bezos  eNCA      5a7YvCPaMD,1,0.78,Positive
93,  Elon Musk  he ouspoken enrepreneur behind Tesla and SpaceX  is now he riches person on he plane      Z5Nu1kuWx2,0.7,-0.4,Negative
94,squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0,0,Neutral
95,squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0,0,Neutral
96,  Elon Musk is now he riches person in he world  passing Jeff Bezos      QKHVPuYqWk,0,0,Neutral
97,  No  Elon Musk is no he riches person in he world ye      1HuVm3iHXO by       9MunzHaSjb,0,0,Neutral
98,  Elon Musk Overakes Bezos To Beme World s Riches Person,0,0,Neutral
99,  Elon Musk has overaken Amazon founder Jeff Bezos as he world s riches person  wih a ne worh oaling around  181 billion as of he marke close on Wednesday      I3vx4nSrLX,0,0,Neutral
100,squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0,0,Neutral
101,squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0,0,Neutral
102,  Elon Musk  he ouspoken enrepreneur behind Tesla and SpaceX  is now he riches person on he plane      Z5Nu1kuWx2,0.7,-0.4,Negative
103,Palihapiiya on Elon Musk  World s riches person should be somebody ha saves he world       OZbCxHf4xn ,0,0,Neutral
104,squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0,0,Neutral
105,  Elon Musk has edged pas Amazon founder Jeff Bezos o grab he ile of world s riches person  acrding o Bloomberg       kpJ1IjBHOC,0,0,Neutral
106, Kirjakauppias  on yhä rikkaampi kuin  auonvalmisaja         8CZpnCEwN2,0,0,Neutral
107,  Breaking  Elon Musk jus became he riches person in he world   His ne worh is now  188 5 billion  surpassing ha of Jeff Bezos   In he pas year  Musk s forune has risen by  160 billion       poCjypj4Ss,0,0,Neutral
108,  Elon Musk overook Jeff Bezos as he world s riches person  repors    Musk had made a leas  68 billion during he pandemic  Meanwhile  las year    There were 2 3 million layoffs   1 in 8 homes did no have enough o ea   19 5 million on jobless aid in mid Dec      OTYO2BTys,0.25,0,Neutral
109,  Elon Musk  he ouspoken enrepreneur behind Tesla and SpaceX  is now he riches person on he plane      Z5Nu1kuWx2,0.7,-0.4,Negative
110,squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0,0,Neutral
111,  Elon Musk passes Jeff Bezos o beme he riches person on Earh      yHilp5FHf      7JDPbZMnvA,0,0,Neutral
112,  Elon Musk has overaken Amazon founder Jeff Bezos as he world s riches person  wih a ne worh oaling around  181 billion as of he marke close on Wednesday      I3vx4nSrLX,0,0,Neutral
113,squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0,0,Neutral
114,squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0,0,Neutral
115,Elon Musk 1 speed run WR any  beming riches person in he world  Imagine mans is goaed,0,0,Neutral
116,  Tesla and SpaceX owner Elon Musk replaced Jeff Bezos as he world s riches person  worh  185bn      waabTOfqn,0,0,Neutral
117,  Elon Musk has overaken Amazon founder Jeff Bezos as he world s riches person  wih a ne worh oaling around  181 billion as of he marke close on Wednesday      I3vx4nSrLX,0,0,Neutral
118,  TESLA CEO ELON MUSK IS NOW THE RICHEST PERSON IN THE WORLD  PASSING JEFF BEZOS   CNBC,0,0,Neutral
119,  No  Elon Musk is no he riches person in he world ye      1HuVm3iHXO by       9MunzHaSjb,0,0,Neutral
120,  Elon Musk overakes Bezos o beme world s riches person      z8vv3WAslb      IEmBdV8R0o,0,0,Neutral
121,  Breaking  Elon Musk jus became he riches person in he world   His ne worh is now  188 5 billion  surpassing ha of Jeff Bezos   In he pas year  Musk s forune has risen by  160 billion       poCjypj4Ss,0,0,Neutral
122,  Elon Musk has edged pas Amazon founder Jeff Bezos o grab he ile of world s riches person  acrding o Bloomberg       kpJ1IjBHOC,0,0,Neutral
123,  Elon Musk jus became he riches person in he world   Elon Musk owns biin  0 25 BTC    Correlaion ,0,0,Neutral
124,  Elon Musk overook Jeff Bezos as he world s riches person  repors    Musk had made a leas  68 billion during he pandemic  Meanwhile  las year    There were 2 3 million layoffs   1 in 8 homes did no have enough o ea   19 5 million on jobless aid in mid Dec      OTYO2BTys,0.25,0,Neutral
125,squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0,0,Neutral
126,  Elon Musk now officially he riches person in he world  passing Jeff Bezos   More       FXfefHUGqY      QhqxjoCda6,0.5,0.5,Positive
127,  Elon Musk now officially he riches person in he world  passing Jeff Bezos   More       FXfefHUGqY      QhqxjoCda6,0.5,0.5,Positive
128,  Elon Musk  now he riches person in he world  has made millionaires ou of Tesla s mos loyal fans  Mee one of hem      ROalpijR4Q      FlPlv54nxS,0.833333333,0.333333333,Positive
129,squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0,0,Neutral
130,hole   Why are some people excied ha Elon Musk surpassed Bezos as riches person in he world  Boh are hoarding unimaginable amouns of wealh  and now i jus urned ino a  whose pp is bigger  nes,0.5,0,Neutral
131,  Elon Musk has edged pas Amazon founder Jeff Bezos o grab he ile of world s riches person  acrding o Bloomberg       kpJ1IjBHOC,0,0,Neutral
132,Sources say Elon Musk is he riches person in he world    You mind sparing me some money for robux     ,0,0,Neutral
133,squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0,0,Neutral
134,  Elon Musk jus became he riches person in he world   Elon Musk owns biin  0 25 BTC    Correlaion ,0,0,Neutral
135,  Elon Musk has jus been announced as he world s riches person a  246 6 billion  9News      jjX4Zw4ghv,0,0,Neutral
136,squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0,0,Neutral
137,  Tesla and SpaceX CEO  jus passed Jeff Bezos o beme he world s riches person    Musk is worh  185 billion now  largely hanks o Tesla s skyrockeing sock price    A he sar of 2020  Musk was worh  27 billion         BTzYCqyTJ8,0.428571429,0.214285714,Positive
138,  Elon Musk jus became he riches person in he world   Elon Musk owns biin  0 25 BTC    Correlaion ,0,0,Neutral
139,  No  Elon Musk is no he riches person in he world ye      1HuVm3iHXO by       9MunzHaSjb,0,0,Neutral
140,  Thursday s increase in Tesla s share price pushed Elon Musk s ne worh o more han  185 billion   pas Jeff Bezos  who had been he riches person since 2017 and is currenly worh abou  184 billion   TSLA  AMZN      g8CKSBfVad,0.5,0.5,Positive
141,squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0,0,Neutral
142,  BREAKING  Elon Musk is now he riches person in he world  wih a ne worh of over 185 billion        CnxA99PFqE,0,0,Neutral
143,  Elon Musk overook Jeff Bezos as he world s riches person  repors    Musk had made a leas  68 billion during he pandemic  Meanwhile  las year    There were 2 3 million layoffs   1 in 8 homes did no have enough o ea   19 5 million on jobless aid in mid Dec      OTYO2BTys,0.25,0,Neutral
144,squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0,0,Neutral
145,  Elon Musk  now he riches person in he world  has made millionaires ou of Tesla s mos loyal fans  Mee one of hem      ROalpijR4Q      FlPlv54nxS,0.833333333,0.333333333,Positive
146,  Elon Musk is now he riches person in he world   Sep 1  Build hings ha people love  Sep 2  Profi ,0.6,0.5,Positive
147,  NEW  Elon Musk overakes Jeff Bezos as riches person in he world,0.454545455,0.136363636,Positive
148,ElonMusk dehrones JeffBezos as he WorldsRichesPerson      yaJaXeXVXr via  News Greed Money,0,0,Neutral
149,  Elon Musk  he ouspoken enrepreneur behind Tesla and SpaceX  is now he riches person on he plane      Z5Nu1kuWx2,0.7,-0.4,Negative
150,  Elon Musk is now he riches person in he world  An increase in Tesla s sock price on Thursday pushed Musk pas he Amazon founder Jeff Bezos on Bloomberg s lis of he world s wealhies people  Musk s ne worh as of Thursday morning   188 5 billion       fpLcmggzif,0,0,Neutral
151,  Elon Musk has overaken Amazon founder Jeff Bezos as he world s riches person  wih a ne worh oaling around  181 billion as of he marke close on Wednesday      I3vx4nSrLX,0,0,Neutral
152,  Breaking  Elon Musk jus became he riches person in he world   His ne worh is now  188 5 billion  surpassing ha of Jeff Bezos   In he pas year  Musk s forune has risen by  160 billion       poCjypj4Ss,0,0,Neutral
153,  Elon Musk has overaken Amazon founder Jeff Bezos as he world s riches person  wih a ne worh oaling around  181 billion as of he marke close on Wednesday      I3vx4nSrLX,0,0,Neutral
154,squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0,0,Neutral
155,squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0,0,Neutral
156,  Musk began 2020 worh abou  27 billion  He s now he riches person in he hisory of he world  gaining more wealh han Bill Gaes  enire ne worh of  132 billion in jus 12 monhs  All while 360 000 people died and 10s of millions los jobs and HC        lhBus1Wm3l,0.5,0.5,Positive
157,   Elon Musk now he riches person in he world overaking Amazon s Jeff Bezos      x78CK2B1pC,0,0,Neutral
158,  Elon Musk overook Jeff Bezos as he world s riches person  repors    Musk had made a leas  68 billion during he pandemic  Meanwhile  las year    There were 2 3 million layoffs   1 in 8 homes did no have enough o ea   19 5 million on jobless aid in mid Dec      OTYO2BTys,0.25,0,Neutral
159,  Elon Musk is now he riches person in he world   Sep 1  Build hings ha people love  Sep 2  Profi ,0.6,0.5,Positive
160,  Elon Musk is now he riches person in he world  passing Jeff Bezos      QKHVPuYqWk,0,0,Neutral
161,Elon Musk jus became he riches person in he world   Elon Musk owns biin  0 25 BTC    Correlaion ,0,0,Neutral
162,  Thursday s increase in Tesla s share price pushed Elon Musk s ne worh o more han  185 billion   pas Jeff Bezos  who had been he riches person since 2017 and is currenly worh abou  184 billion   TSLA  AMZN      g8CKSBfVad,0.5,0.5,Positive
163,  Tesla and SpaceX owner Elon Musk replaced Jeff Bezos as he world s riches person  worh  185bn      waabTOfqn,0,0,Neutral
164,  Elon Musk passes Jeff Bezos o beme he riches person on Earh      yHilp5FHf      7JDPbZMnvA,0,0,Neutral
165,  JUST IN  Elon Musk surpasses Jeff Bezos o beme he world s riches person      Fl2uS2xSD      PcybbKQuG6,0,0,Neutral
166,  Elon Musk is now he riches person in he world    His Ne Worh is now more han Amazon founder Jeff Bezos   So  Wha is he one hing  we can learn from his enrepreneurial journey   Smar work  amp  Persisence is he key o success   elonmusk esla      UCRZUmQzdE,0.5,0.266666667,Positive
167,  Elon Musk has edged pas Amazon founder Jeff Bezos o grab he ile of world s riches person  acrding o Bloomberg       kpJ1IjBHOC,0,0,Neutral
168,  Breaking  Elon Musk jus became he riches person in he world   His ne worh is now  188 5 billion  surpassing ha of Jeff Bezos   In he pas year  Musk s forune has risen by  160 billion       poCjypj4Ss,0,0,Neutral
169,  Elon Musk is now he riches person in he world    His Ne Worh is now more han Amazon founder Jeff Bezos   So  Wha is he one hing  we can learn from his enrepreneurial journey   Smar work  amp  Persisence is he key o success ,0.5,0.266666667,Positive
170,  Elon Musk leaves behind Amazon s Bezos o beme world s riches person   Bloomberg News      IEZ4kk7w29      VUrqi3MPLs,0.7,-0.4,Negative
171,  Elon Musk now officially he riches person in he world  passing Jeff Bezos   More       FXfefHUGqY      QhqxjoCda6,0.5,0.5,Positive
172,  Elon Musk has overaken Amazon founder Jeff Bezos as he world s riches person  wih a ne worh oaling around  181 billion as of he marke close on Wednesday      I3vx4nSrLX,0,0,Neutral
173,A marke close  will have a P E of 1600     They uld do an all sock purchase of every car mpany on he NYSE and sill have room for Salesforce         D18d5CTQsx,0,0,Neutral
